n,r,m
(:head {name: 'signs'}),[:Relation {type: part of}],(:tail {name: street})
(:head {name: 'signs'}),[:Relation {type: subclass of}],(:tail {name: walking})
(:head {name: 'signs'}),[:Relation {type: part of}],(:tail {name: walking})
(:head {name: 'chain strap'}),[:Relation {type: part of}],(:tail {name: purse})
(:head {name: 'purse'}),[:Relation {type: has part}],(:tail {name: chain strap})
(:head {name: 'chain'}),[:Relation {type: part of}],(:tail {name: purse})
(:head {name: 'hose'}),[:Relation {type: has part}],(:tail {name: fitting})
(:head {name: 'hose'}),[:Relation {type: has part}],(:tail {name: fitting})
(:head {name: 'blue'}),[:Relation {type: opposite of}],(:tail {name: white})
(:head {name: 'courtroom'}),[:Relation {type: subclass of}],(:tail {name: group of people})
(:head {name: 'courtroom'}),[:Relation {type: subclass of}],(:tail {name: group})
(:head {name: 'courtroom'}),[:Relation {type: subclass of}],(:tail {name: group of people standing next to each other})
(:head {name: ''a painting of a woman in a colorful dress''}),[:Relation {type: instance of}],(:tail {name: painting})
(:head {name: 'painting of a woman in a colorful dress'}),[:Relation {type: depicts}],(:tail {name: colorful dress})
(:head {name: 'painting of a woman in a colorful dress'}),[:Relation {type: instance of}],(:tail {name: painting})
(:head {name: ''a close up of a car with flames on it''}),[:Relation {type: depicts}],(:tail {name: car})
(:head {name: 'car'}),[:Relation {type: has part}],(:tail {name: flames})
(:head {name: ''a close up of a car with flames on it''}),[:Relation {type: depicts}],(:tail {name: car with flames on it})
(:head {name: ''a woman and a child smiling for a picture''}),[:Relation {type: instance of}],(:tail {name: picture})
(:head {name: ''a woman and a child smiling for a picture''}),[:Relation {type: depicts}],(:tail {name: picture})
(:head {name: ''a woman and a child smiling for a picture''}),[:Relation {type: genre}],(:tail {name: picture})
(:head {name: ''a painting of three white orchids with green leaves''}),[:Relation {type: depicts}],(:tail {name: orchid})
(:head {name: 'painting of three white orchids with green leaves'}),[:Relation {type: depicts}],(:tail {name: orchid})
(:head {name: ''a painting of three white orchid with green leaves''}),[:Relation {type: depicts}],(:tail {name: orchid})
(:head {name: 'Yellow raft'}),[:Relation {type: subclass of}],(:tail {name: raft})
(:head {name: 'Yellow raft'}),[:Relation {type: instance of}],(:tail {name: raft})
(:head {name: 'raft'}),[:Relation {type: part of}],(:tail {name: body of water})
(:head {name: 'Blue glove'}),[:Relation {type: subclass of}],(:tail {name: glove})
(:head {name: ''a person in blue gloves'}),[:Relation {type: depicts}],(:tail {name: reaching for something in a box})
(:head {name: ''a person in blue gloves is reaching for something in a box''}),[:Relation {type: main subject}],(:tail {name: blue gloves})
(:head {name: 'countertops'}),[:Relation {type: part of}],(:tail {name: kitchen})
(:head {name: 'counter tops'}),[:Relation {type: part of}],(:tail {name: kitchen})
(:head {name: 'cabinets'}),[:Relation {type: has part}],(:tail {name: countertops})
(:head {name: 'power filter'}),[:Relation {type: part of}],(:tail {name: aquarium})
(:head {name: 'power filterr'}),[:Relation {type: use}],(:tail {name: aquarium})
(:head {name: 'aquarium'}),[:Relation {type: has part}],(:tail {name: power filterr})
(:head {name: 'projector screen'}),[:Relation {type: part of}],(:tail {name: classroom})
(:head {name: 'red chair'}),[:Relation {type: part of}],(:tail {name: classroom})
(:head {name: 'projector'}),[:Relation {type: part of}],(:tail {name: classroom})
(:head {name: ''a woman in a wedding dress standing in front of a wall''}),[:Relation {type: depicts}],(:tail {name: wedding dress})
(:head {name: 'wedding dress'}),[:Relation {type: facet of}],(:tail {name: wedding})
(:head {name: 'wedding'}),[:Relation {type: uses}],(:tail {name: dress})
(:head {name: 'snow covered ground'}),[:Relation {type: has part}],(:tail {name: snow})
(:head {name: 'snow covered ground'}),[:Relation {type: subclass of}],(:tail {name: snow})
(:head {name: 'snow covered ground'}),[:Relation {type: facet of}],(:tail {name: snow})
(:head {name: 'bridge'}),[:Relation {type: crosses}],(:tail {name: train track})
(:head {name: 'train track'}),[:Relation {type: connects with}],(:tail {name: bridge})
(:head {name: 'under a bridge'}),[:Relation {type: crosses}],(:tail {name: train track})
(:head {name: 'dress'}),[:Relation {type: subclass of}],(:tail {name: photo})
(:head {name: 'dress'}),[:Relation {type: instance of}],(:tail {name: photo})
(:head {name: 'dress'}),[:Relation {type: subclass of}],(:tail {name: black and white})
(:head {name: '2019'}),[:Relation {type: point in time}],(:tail {name: 2019})
(:head {name: '2019 subaruna'}),[:Relation {type: point in time}],(:tail {name: 2019})
(:head {name: ''a black 2019 subaruna'}),[:Relation {type: point in time}],(:tail {name: 2019})
(:head {name: 'helmet'}),[:Relation {type: has part}],(:tail {name: logo})
(:head {name: 'helmet'}),[:Relation {type: has part}],(:tail {name: logo})
(:head {name: 'helmet'}),[:Relation {type: manufacturer}],(:tail {name: pittsburgh steelers})
(:head {name: 'painting of a man holding a bird and flowers'}),[:Relation {type: depicts}],(:tail {name: bird})
(:head {name: ''a painting of a man holding a bird and flowers''}),[:Relation {type: instance of}],(:tail {name: painting})
(:head {name: 'painting'}),[:Relation {type: depicts}],(:tail {name: bird})
(:head {name: 'skull'}),[:Relation {type: part of}],(:tail {name: skull})
(:head {name: 'skull'}),[:Relation {type: part of}],(:tail {name: blue blanket})
(:head {name: 'skull'}),[:Relation {type: subclass of}],(:tail {name: knitted})
(:head {name: 'drinks'}),[:Relation {type: part of}],(:tail {name: table})
(:head {name: 'glasses'}),[:Relation {type: part of}],(:tail {name: table})
(:head {name: 'glass'}),[:Relation {type: use}],(:tail {name: drink})
(:head {name: 'website design'}),[:Relation {type: part of}],(:tail {name: website})
(:head {name: ''a red and white restaurant website design''}),[:Relation {type: instance of}],(:tail {name: website design})
(:head {name: 'website design'}),[:Relation {type: facet of}],(:tail {name: website})
(:head {name: 'old black and white photo'}),[:Relation {type: depicts}],(:tail {name: town})
(:head {name: 'photo'}),[:Relation {type: depicts}],(:tail {name: town})
(:head {name: 'old black and white photo'}),[:Relation {type: subclass of}],(:tail {name: photo})
(:head {name: 'ceiling fan'}),[:Relation {type: part of}],(:tail {name: bed room})
(:head {name: 'bed'}),[:Relation {type: part of}],(:tail {name: bed room})
(:head {name: 'bed room'}),[:Relation {type: has part}],(:tail {name: bed})
(:head {name: 'table'}),[:Relation {type: opposite of}],(:tail {name: floor})
(:head {name: 'table'}),[:Relation {type: different from}],(:tail {name: floor})
(:head {name: 'table'}),[:Relation {type: different from}],(:tail {name: floor})
(:head {name: 'car'}),[:Relation {type: has part}],(:tail {name: interior})
(:head {name: 'interior'}),[:Relation {type: part of}],(:tail {name: car})
(:head {name: 'interior'}),[:Relation {type: part of}],(:tail {name: car})
(:head {name: 'oven'}),[:Relation {type: subclass of}],(:tail {name: stove top})
(:head {name: 'oven'}),[:Relation {type: part of}],(:tail {name: kitchen})
(:head {name: 'stove top oven'}),[:Relation {type: part of}],(:tail {name: kitchen})
(:head {name: 'John F. Kennedy School of Government'}),[:Relation {type: part of}],(:tail {name: Harvard University})
(:head {name: 'Docked in the water'}),[:Relation {type: instance of}],(:tail {name: boat})
(:head {name: 'Docked in the water'}),[:Relation {type: instance of}],(:tail {name: boats})
(:head {name: 'passport'}),[:Relation {type: used by}],(:tail {name: person})
(:head {name: 'passport'}),[:Relation {type: owned by}],(:tail {name: person})
(:head {name: 'passport'}),[:Relation {type: subclass of}],(:tail {name: person})
(:head {name: 'table'}),[:Relation {type: part of}],(:tail {name: dinning room})
(:head {name: 'table'}),[:Relation {type: use}],(:tail {name: dinning room})
(:head {name: 'table and chairs'}),[:Relation {type: part of}],(:tail {name: dinning room})
(:head {name: 'toilet'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'shower'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'toilet'}),[:Relation {type: part of}],(:tail {name: bathroom})
(:head {name: 'green'}),[:Relation {type: has part}],(:tail {name: white})
(:head {name: 'white'}),[:Relation {type: has part}],(:tail {name: green})
(:head {name: 'green hat'}),[:Relation {type: has part}],(:tail {name: white background})
