dim1,dim2,dim3,prompt
-26.278269,-21.121714,-12.886824,a table sawing machine on a white background
-25.362337,-27.070248,3.723109,a brown leather recliner chair on a white background
-6.48247,4.37364,1.2620972,a black and white photo of a dog team pulling a sled
-22.841469,8.1511755,-2.0440428,a pair of key chains with a police officer on them
16.475035,19.048117,-5.952889,this is a computer rendering of a house
0.56613255,28.563204,-18.00587,a view of the grand canyon from the top of a cliff
8.603505,29.950756,1.8089781,a drawing of a tall tower with a clock on top of it
-7.7035975,-15.214658,-16.306232,a close up of a sandwich on a plate
13.819125,6.445084,-28.329062,the cover of jude the obscure by thomas hardy
-13.890252,23.28349,24.567453,an advertisement for shredded wheat with a picture of a man
-19.49528,1.1116997,3.6704462,a person holding a gold necklace with a lion on it
5.069411,-17.463568,-16.75897,a bunch of cupcakes sitting on top of a table
-29.306864,-26.38292,-3.698094,a mountain bike is shown against a white background
-26.046587,5.646147,-18.334667,a black and white photo of a cell phone
-14.022341,-24.044575,17.433636,a bedroom with pink walls and a white bed
-17.314661,-26.581446,-5.177479,a gallon of red diamond syrup on a white background
-11.825515,31.123356,2.4488156,a yellow taxi driving down a street next to a tall building
-2.7923367,24.66167,-21.982092,boats are docked in the water next to a lighthouse
-1.6460317,23.77177,1.6983016,a city street covered in snow next to tall buildings
7.4597883,27.073195,-0.95854175,a large building with a clock tower on top of it
-13.733947,27.179491,-4.870275,a white building with a green fence and trees in the background
-2.8164701,13.123569,2.1520958,an old black and white photo of a building
-5.8508487,26.429216,7.649182,a person riding a snowmobile down a snow covered slope
3.0709236,-12.336162,-2.81172,a pool table with several balls and a cue
-15.356178,-7.7984157,2.4728844,a purple flower sitting on top of a green leaf
12.783485,0.63372076,12.441813,a group of people sitting around a table in front of a blackboard
28.735245,29.787876,-16.227877,a bar chart that shows the number of people who are using voice - activated systems
35.39128,-10.878619,-1.4308645,a bed with a black and white comforter and pillows
13.904999,-19.587036,-2.2718558,a kitchen cabinet with a drawer full of items
9.929584,26.841122,-12.3269005,a map of a campus with several buildings
-12.028476,-12.310692,16.282164,a screenshot of a woman with red hair
-21.021814,-5.414781,-29.256655,a water heater with a hose attached to it
-4.522525,-14.255713,-4.0326476,a lot of pumpkins and flowers in pots
2.3168993,-29.754932,-8.1670065,a long table with white flowers and candles
-18.440851,-6.025835,19.222368,a woman wearing a silver skirt and black top
17.29803,-7.872954,-2.9373462,a room with several chairs and a desk in it
-38.273243,-5.887351,2.8172314,the champion logo on a blue background
-14.871913,-12.538591,13.787928,a woman with blonde and pink hair posing for a picture
3.6317704,-15.034842,-9.059704,a muffin sitting on top of a wooden table
9.748581,-12.656092,-9.427553,a table with a drawer on top of it
-19.759304,11.871703,14.048215,a close up of a person wearing a suit and tie
15.0032625,4.795035,18.692913,a group of women standing next to each other holding quilts
15.208663,19.008327,23.683134,a man and woman standing next to each other
-2.4088507,0.41657647,34.883987,a baby girl's dress with a butterfly applique
-6.3288608,0.9987155,17.958717,a woman standing in front of a white background
9.591265,-13.6446295,-1.7456535,a wooden desk with a black leather chair
9.425334,-18.800823,14.129805,a brown leather sectional sofa with recliners
7.7974477,27.396488,12.691224,a man holding a sign that says keep calm and never give up
-29.646082,-7.3765416,24.113045,a black jacket with a skull on it
30.060186,22.502146,-22.258877,a line graph showing the temperature and temperature of the greenhouse
3.7575715,17.59816,-10.782601,a christmas market in the middle of a town
-4.7998056,-16.325447,-15.799241,a plate with a sandwich and chips on it
22.53058,26.047651,-11.374505,a graph showing wage and salariess in different countries
-4.5349307,17.967104,-17.115349,a body of water next to a wooden dock
-19.55655,-16.749025,6.331016,a small pink handbag on a white background
-20.06285,-8.644442,-8.119899,a close up of a bracelet with a heart on it
14.51859,16.817093,19.088173,a little girl standing with her hands on her hips
21.891903,-0.4979487,7.0240307,a living room filled with furniture and a large window
19.461521,25.348314,24.3964,a man signing autographs for a young boy
-21.416058,-6.918282,0.00916829,an antique ruby and diamond ring
-12.455325,12.8113985,18.801033,a man standing at a podium in front of a microphone
-6.897933,3.8170097,5.5850854,a black and white photo of a man in uniform playing a trumpet
-29.016798,-7.59342,-20.97466,a camera with a lens attached to it
-3.9945076,-13.006912,34.165634,a red and white dress on a mannequin mannequin mannequin mannequin mannequin mannequin mann
-16.315273,14.814255,12.892187,a man in a suit and tie posing for a picture
-5.6982336,33.232655,9.254754,a tractor spraying a field with a sprayer
18.069746,-24.568966,1.2791375,a kitchen with white cabinets and white appliances
4.632014,23.032486,12.732404,a group of people walking down a street holding signs
-20.162638,-14.718458,8.985977,a small pink purse with a chain strap
-33.92227,-14.231022,-6.9085083,a blue hose fitting on a white background
13.801657,12.35905,16.406593,a group of people standing next to each other in a courtroom
-9.338024,-3.742546,25.286419,a painting of a woman in a colorful dress
-12.771732,2.5367024,-22.191727,a close up of a car with flames on it
-12.372592,3.422971,31.635063,a woman and a child smiling for a picture
-15.162519,-11.963789,-2.9110012,a painting of three white orchids with green leaves
-10.196214,17.329517,-20.15013,a yellow raft floating on top of a body of water
-5.087347,-1.056923,-2.8827093,a person in blue gloves is reaching for something in a box
14.256557,-23.849533,3.627747,a kitchen with black cabinets and white counter tops
3.4635859,-0.38676614,-36.724434,fluval power filterr for aquariums
0.419994,-24.257847,16.146267,a classroom with red chairs and a projector screen
-7.6889014,2.0844634,22.12244,a woman in a wedding dress standing in front of a wall
-7.63127,23.125185,3.6545393,a pile of snow sitting on top of a snow covered ground
6.7820234,28.343493,-23.277285,a painting of a train track going under a bridge
-10.582505,2.3154197,14.028813,a black and white photo of a woman in a dress
-25.510683,-22.981262,-5.4755406,a black 2019 subaruna parked in front of a white background
-4.047781,-33.946312,1.62345,a helmet with the pittsburgh steelers logo on it
-10.446878,14.355092,27.857296,a painting of a man holding a bird and flowers
-36.962093,0.33134475,11.839358,a knitted skull sitting on top of a blue blanket
2.3950067,-6.0968757,4.1696043,a row of glasses filled with drinks on a table
15.57413,19.799206,-13.781617,a red and white restaurant website design
-6.1276383,14.7849245,4.061849,an old black and white photo of a town
31.979216,-1.365453,-2.507101,a bed room with a neatly made bed and a ceiling fan
6.7413034,-12.296712,-6.4196696,a wooden table sitting on top of a wooden floor
35.77902,7.9884567,-0.06475774,the interior of a car is clean and ready to be used
24.452433,-18.223927,1.2400417,a kitchen with a stove top oven sitting next to a window
-2.2006547,21.542147,-24.503832,a couple of boats that are docked in the water
-15.007345,5.898499,-8.076007,a close up of a person holding a passport
13.610678,-7.626763,-0.46876723,a dinning room with a table and chairs
25.475178,-21.031422,-5.1936255,"a bathroom with a toilet, sink, and shower"
-29.078016,-8.560766,9.830177,a green hat on a white background
21.65811,15.145499,-11.117093,institutional buying and selling by quarter for kt ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny ny
7.827777,12.778399,16.4857,a group of people standing on top of a stage
25.99094,-9.472181,19.695612,a patio with a fire place and steps leading up to it
-19.436632,-17.52236,14.775823,a baby girl's pink dress and white pants
-6.366874,-7.87035,1.1962848,a wine bottle decorated with berries and greenery
5.1789517,22.09873,-11.798067,a view of a village in the mountains
3.0310037,9.17129,-11.987342,a couple of fake cows standing next to each other
23.509539,-1.9677206,-4.1752543,a bed sitting in a bedroom next to a window
19.049177,-20.825321,17.743973,a hallway decorated with christmas lights and decorations
-8.896515,18.337498,-26.286684,a wooden model of a boat on a white surface
-4.3205285,17.264317,20.723518,a construction worker standing in front of a building under construction
-17.839792,-5.286875,11.258002,a woman wearing a bra and panties posing for the camera
26.840374,-5.704095,15.85798,a living room filled with furniture and a fire place
30.599882,12.282877,-6.2065945,days inn by wyndham
-7.388947,26.204845,13.263947,a man riding a surfboard on top of a wave
16.809443,18.326704,7.332958,a group of people that are playing drums
5.312381,25.434443,-8.530911,a drawing of a city street with a lot of tall buildings
23.206268,-8.486977,10.042542,a living room filled with furniture and a flat screen tv
8.23127,-7.011775,-16.601076,a machine that is sitting on top of a table
1.2229288,-2.724599,15.312302,a woman sitting at a table in front of a window
-5.34561,21.98462,-27.966846,a white catamaran docked at a dock
21.11063,-7.3962,16.530216,a living room filled with furniture and a staircase
7.697942,1.4003382,-23.613646,a bottle of courvoisir xo
17.485222,12.120198,14.952681,a group of people standing in a room
22.505196,-20.402765,2.3964474,a kitchen with a stove top oven next to a refrigerator
2.4536824,-3.7407181,-19.367865,a bottle of champagne sitting on top of a table
-14.5704155,10.545179,20.28539,a woman standing in front of a microphone
-1.180364,-14.792609,6.0537486,a bunch of balloons sitting on top of a table
9.214899,-8.99133,-10.314033,an old typewriter sitting on top of a table
-30.554678,-0.29719454,20.34065,a blue sweater with a zipper on the chest
13.124886,25.319128,0.5696344,a very tall building with a lot of windows
-11.077137,12.873176,16.721252,a man standing at a podium giving a speech
-20.462692,-0.9812659,-23.906704,a close up of a car charger with a cable
6.894074,-18.011824,13.451732,a brown leather couch sitting on top of a white floor
-28.621405,-16.320293,-13.677115,a close up of a pokemon figure on a white background
30.62103,-0.116286814,-7.140169,a bed room with a neatly made bed and a flat screen tv
29.06684,0.45700482,6.5360956,a room with wood floors and white walls
15.473185,6.922649,5.7614117,a group of four remote controls sitting next to each other
-13.368702,-0.7451168,-12.79419,a pen with a pen tip next to it
-26.492256,-6.929934,-5.732965,a diamond ring on a white surface
21.190035,-25.61916,-12.760486,a white office chair sitting on top of a white floor
-30.846624,1.7611212,0.6144849,a blue and yellow striped glass pendant on a silver chain
-25.047817,-4.2894387,0.76134896,a silver ring with a purple stone in the center
3.5724802,-7.117455,-11.679261,a bunch of rings sitting on top of a table
4.02897,17.247768,-19.636957,the sun is setting over a body of water
-8.571332,-29.101175,6.448272,a black and silver motorcycle parked on a white surface
-7.766623,18.94058,26.185806,a man holding a dog in front of a cabin
-13.514331,-1.6977962,17.5328,a woman wearing a black and white dress
29.874605,3.407385,-20.684816,a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture of a picture
4.6982036,8.149257,2.872006,a young boy laying in the grass with his hands on his face
0.3228678,-16.497204,-13.480819,a person is decorating a cake with icing
19.185448,-7.229284,20.307396,a spiral staircase in a home with a skylight
-22.493849,-24.081015,1.2263976,a fender guitar amplifier sitting on top of a white background
-8.638378,11.640768,-1.4318907,a black and white photo of a tree
28.807829,13.053921,-19.695778,a close up of a car dashboard with a clock
5.129224,-10.237585,4.723737,a table topped with glass bottles filled with cactus and llamas
-19.268816,-21.13906,0.5354945,a black briefcase on a white background
3.878329,-8.263989,16.164354,a woman sitting on a couch holding a microphone
10.508834,6.3185525,9.217238,a group of people sitting on the floor in a room
-12.49302,-6.3111305,13.574873,a woman wearing black stockings and high heels
34.00563,-6.543226,-1.0421484,a bed with a brown comforter and pillows
-6.1692142,-7.851738,31.648691,a white dress with green buttons on a mannequin
-1.9258093,-2.1289413,-19.683517,two glasses of wine on a table with a view of a lake
-17.721888,10.795559,12.259359,a close up of a person wearing a suit and tie
19.203644,14.716636,16.191332,a couple of people standing in a room
-7.052298,30.88444,-16.760397,a large passenger jet taking off from an airport runway
2.1719034,-5.807147,-5.131663,a box filled with assorted canned food items
20.65464,-5.399728,10.595483,a living room filled with furniture and a flat screen tv
15.228294,7.668891,29.502449,a gym mat with a kettlebell on top of it
13.779637,-1.1440489,0.23108134,a patio with a table and chairs and a ceiling fan
27.374533,-8.961071,3.1858456,a couch and ottoman in a room
33.248814,-2.98463,6.9727654,a child's playroom with wooden toys
-24.743334,-3.5747514,-19.213367,a close up of a single fiber module
-1.9422407,6.6304984,-18.013094,a couple of hoses sitting next to each other
5.218076,-5.033873,21.721188,a cartoon of a man sitting on top of a chair
33.51283,-4.10832,-6.0192184,a bed room with a neatly made bed
-21.619267,4.517248,2.7012699,a person holding a pair of earrings in their hand
5.3633986,-22.57996,-3.4276721,a shelf filled with lots of different colored roofing sheets
-9.517434,22.826027,-13.276317,a small waterfall in the middle of a forest
35.31846,-8.611625,0.93565536,a bed with a gray comforter and pillows
-9.39724,13.346555,2.6288722,a black and white photo of a harbor
7.3066607,7.0350194,24.894316,a group of young men playing a game of soccer
2.898768,-5.3034616,6.978954,a woman sitting at a table with a row of beer glasses in front of her
28.372507,12.068744,-6.850345,the holiday inn hotel and suites
-17.766006,-9.225985,20.423649,a woman wearing a red shirt and black skirt
-30.179865,-22.205406,3.8593957,a pair of brown hiking boots on a white background
-38.01172,1.8413236,5.9635262,a blue sports car parked in a dirt lot
-9.241656,18.11591,23.816967,a man standing in front of a red barn
4.532085,29.989801,-14.321526,an aerial view of the city of seattle
-23.372864,-13.854078,-4.4518676,an image of a tent on a white background
16.590614,6.1392274,-10.442366,a sign that says home is where my plants are
-20.796923,-14.740567,15.505806,a man in a pink shirt and blue pants
4.330865,15.586457,31.319128,two women looking at shoes in a store
1.0320114,22.464724,11.655849,a group of people walking down a street holding american flags
-22.48229,-28.739428,-5.8237696,a red motorcycle on a white background
0.22550538,18.309172,17.477106,a group of children standing in front of a building
-12.17822,20.977423,-2.039899,a herd of deer standing on top of a grass covered field
-16.467436,3.8584707,17.30698,a woman in a long white dress
20.233866,20.87466,23.519924,a boy and a girl talking to each other
17.709076,-24.879477,-2.597447,a set of three white cupboards next to each other
-21.438734,-6.468226,-10.280633,a close up of a bracelet on a pile of rocks
5.849405,21.83982,21.325752,two people setting up a tent near a lake
-18.448877,-15.02048,11.664983,a woman is wearing a pink outfit and holding a purse
3.7253578,-21.596632,-18.53895,three cupcakes with white frosting and red sprinkles
10.549509,-4.853362,-15.185361,a machine that is sitting on top of a table
20.631458,13.916125,23.604483,a man and a woman kissing in a room
11.985064,-7.4986615,4.689469,a baby sitting in a high chair playing with a toy
-18.560257,20.743427,-14.793787,a green inflatable frog floating in a pool
-0.32134932,18.387503,-3.8173296,two jeeps are parked on a rocky hill
-28.845295,3.0095575,16.570288,a pair of jeans on a hanger
-15.75234,5.4712443,30.843498,a smiling woman holding a bag of food
25.27665,-3.0750384,-13.974324,a walk - in closet with lots of clothes
7.334763,-13.007973,15.085434,a guitar sitting on top of a black couch
-6.973725,-1.1515441,-10.608751,a black case with a handle and latches
-20.929527,-17.419512,-6.274412,a mexican flag on a white background
-27.901833,7.0429697,10.76188,a close up of a mannequin wearing a red hat
19.760996,2.411046,1.197157,an empty office with lots of glass walls
-9.28018,-4.0332046,17.114906,a young girl in a black dress posing for the camera
-20.419626,-18.336542,-0.20691517,a black toilet bag on a white background
-22.19629,-0.97728705,18.520975,a woman wearing a white shirt and black pants
-0.0085157845,13.574001,11.879263,a group of sailors standing in front of a large battleship
15.317588,15.147404,13.050188,a group of people standing next to each other
-5.3063335,33.389095,11.786205,a firefighter spraying water on a house
27.407648,-7.7300735,-1.974311,"a hotel room with a bed, chair and ottoman"
-25.925476,-29.694342,-6.1581783,a motorcycle wheel with red spokes on a white background
22.840883,-10.277839,-14.222301,a ladder leaning against a bookshelf in a room
-24.033358,-7.667302,-15.260579,a close up of a usb drive on a white surface
-8.190081,7.789606,11.436746,a black and white photo of a man wearing a hat
21.612383,-3.641201,2.6778042,a living room with a chair and a window curtain
-9.27181,-3.50588,-29.198442,a glass jar with a label on it
1.8753966,-14.476671,-11.374325,a cake sitting on top of a wooden table
-10.388033,7.789013,-25.100769,a motorcycle is parked in a showroom
0.82505685,-18.387133,1.895232,three decorated easter eggs sitting next to a basket
-22.87708,-24.712446,-13.316088,three power invertors on a white background
-24.334774,-3.395014,12.981674,a woman in a white shirt and a green helmet
8.875134,-11.2863455,2.7595115,a counter with bottles of wine on it and a chair in front of it
-16.619974,27.92826,3.8060827,an orange and white classic car parked in a parking lot
14.980182,31.993296,-18.829557,a map of canada with the provincess highlighted
21.610115,-12.990721,0.8703611,a kitchen with a sink and a couch in it
-1.5964643,-11.491435,-11.00325,a knife sitting on top of a piece of wood
7.110705,-5.909198,13.445312,a woman is holding a fluffy cat on her lap
12.076508,5.316101,-20.271551,"a quote that says, you are worth the quiet moment you are worth the deeper breath you"
8.834591,23.883865,-1.6185863,a large building with a cross on top of it
13.641652,22.73824,-13.983426,"a map of restaurants, bars, and shops"
8.069028,19.72477,23.473461,two people standing on a hill with a fire in the background
31.712385,-10.808711,-11.869389,a baby's room with a crib and a chair
-14.706859,-15.485677,-19.64568,a close up of a quilt on a table
-16.429688,-17.712278,13.302769,a woman in a pink and white dress and a woman in a pink and white dress
-19.970798,-9.564029,-14.135588,a close up of a rope on a white surface
-7.009265,-29.808033,9.358397,a brown motorcycle parked on a white surface
12.887271,-27.574554,-15.007808,"a blue, orange, and white cube ottoman"
19.982332,4.4798465,-21.663584,a blue sprock sprock sprock sprock sprock sprock sprock sprock sprock sprock sprock sp
13.595561,-3.0640564,21.682987,a screenshot of a person standing on a set of stairs
22.97152,-23.601847,-7.9579086,a white toilet sitting next to a white sink
-23.330671,-6.0156956,-28.777647,a pump with a hose attached to it
-26.136879,-16.290798,-9.6957,a close up of a metal object on a white background
-4.4462595,-19.72273,-18.418694,a white plate topped with crackers and a cheese ball
-6.462544,18.252932,20.422937,a man standing inside of a building under construction
14.039116,-10.974411,14.322582,two dogs sitting on a couch in a living room
28.305141,-8.848045,-7.705848,a bedroom with a bunk bed and a chair
29.752092,-7.162159,10.742491,a living room filled with furniture and a fire place
28.460854,4.3740263,-5.3995247,a bedroom scene with focus on the bed and dressers
-2.2364576,22.322712,-15.544829,a large body of water with a city in the background
17.52042,6.46291,-13.572541,a sign that says refugees are human beings
23.804379,4.163571,5.3553886,a white conservatory with a glass roof
-1.9658611,-0.20441969,10.816208,a man in a bow tie sitting at a table
-7.277327,23.824219,17.918636,a man standing on a dock playing a guitar
-1.677033,-1.5568725,-3.522246,a white and blue box with four drawers
-28.042286,-21.952501,-0.13487352,a grey adidas running shoe on a white background
-28.64139,-16.204504,-2.082439,a bottle of boss bottled cologne on a white background
33.533726,-10.022954,3.3237286,a gray couch with pillows on top of it
-1.0449983,-5.317418,-15.771973,three glass jellys sitting on top of a table
-29.511675,-5.126616,-6.6850595,three pieces of jewelry on a white surface
1.7442297,33.25127,-17.647326,a view of the earth from the international space station
5.270117,14.089537,26.782408,two female cricket players walking on a field
1.297053,33.004436,-12.078444,an aerial view of a campus surrounded by trees
-15.513441,19.889193,21.850046,a man holding two cans of beer up to his face
-11.87718,-5.0054536,9.569579,a woman in white tights and fishnet stockings
-7.4305553,-2.0420802,-29.463108,a glass jar with a picture inside of it
-14.511588,-3.5305052,20.499048,a woman wearing a black and gold dress
-17.774187,-12.858432,21.03161,a girl in a maroon shirt playing a clarinet
-14.740254,-16.60946,10.70023,a woman wearing a dusty pink bridesmaid dress
-16.434507,12.984855,-15.900585,a close up of a statue of a dog with a butterfly on it's wing
8.028419,37.683777,-6.9577208,the experis manpower group logo
3.9533465,12.194054,11.766286,a group of men standing on top of a boat
18.879383,-4.1943116,-13.251956,a store filled with lots of different types of cleaning products
-0.99248874,20.900433,-21.830072,a bunch of boats that are sitting in the water
-23.44445,-0.5632744,15.996691,a woman in a white shirt and beige pants
14.089332,13.277591,9.541188,a group of people standing around a turkey
-21.381035,-1.8323687,-19.485163,a close up of a cell phone connected to a usb cable
-24.579391,-2.681912,-8.4331665,a close up of a ring with a skull on it
15.42835,24.10736,-6.957576,an artist's rendering of a building on a city street
24.09624,22.565168,-17.447723,a graph that shows the number of people in the city
-7.9217567,-17.813072,-19.757563,a close up of a bowl of crackers
18.6915,8.747821,14.508564,a group of people cutting a ribbon in a room
10.992929,9.268291,-7.215189,a house that is in the grass
-8.909217,10.033524,2.6566164,a black and white photo of a mountain range
5.1945224,26.89867,1.1432788,a large stone building with a clock tower on top of it
8.423638,-0.71161854,0.29438174,a patio with chairs and a table in front of a house
-24.279305,-19.563011,-2.4441614,a black and white baby crib on a white background
-0.5380586,-19.027605,-3.4066057,a bag of koongs chewy treats sitting on a table
-5.633136,32.11893,-18.497442,a large jetliner sitting on top of an airport tarmac
-13.040505,20.762516,22.069347,a man standing in front of a barrel of beer
18.919134,19.388933,7.8437676,a group of people that are playing guitars
24.94875,-20.158228,-7.8465543,a bathroom with a sink and a toilet
1.1221008,-8.486899,-20.703253,a pair of sunglasses sitting on top of a table
24.352427,-6.3474674,3.5702324,a living room with a couch and a window
-7.2449546,8.465583,14.461417,a painting of a man in a black hat
-37.25564,-3.2439222,2.5604467,clear plastic tubes on a blue background
-17.025045,-2.5534,10.799823,a woman in a white lingerie posing for a picture
26.558626,-2.0947568,-10.928824,a bedroom with a bed and a closet
-9.11895,-19.551378,8.166924,a rubber duck with a red and yellow checkered tie on it's neck
13.290544,4.8876185,8.29256,a group of people sitting around a living room
-5.0352483,5.674379,8.357476,a black and white photo of a man standing next to a car
-9.012872,-12.351521,-5.209227,a close up of a bunch of flowers on a table
-18.041475,3.1608815,-7.1757083,a close up of a person holding a button
33.38403,1.1307741,-6.23358,a bed room with a neatly made bed and a flat screen tv
16.47744,14.775152,-28.484907,a poster for a concert with a monster face on it
-5.9207344,4.9713736,20.593876,a woman standing in front of a brick wall
24.808985,-10.014118,4.6352158,a living room with a couch and a table
1.6358958,25.497034,-4.9333243,a street at night with a tower in the background
-2.5612352,-8.670717,-3.6935217,a carved box with flowers and birds on it
-21.874651,-4.554493,-20.564367,a close up of a computer motherboard with a cable connected to it
20.746807,15.276314,-19.538227,a screenshot of a number of reviews on a website
-13.81633,-31.564949,3.5383127,a black bmw suv parked in front of a lake
1.1820863,-28.42652,-11.043519,a table set with white plates and silverware
25.51917,-8.582596,-7.477356,a bedroom with a bunk bed and a desk
-3.8225563,13.175377,19.409235,a police officer standing in front of a statue
-26.136879,-16.290798,-9.6957,a close up of a metal object on a white background
13.456407,-1.6475325,-18.184917,a machine that has a lot of bottles on it
-2.5242426,6.3894916,-6.2087145,a dinosaur skull mounted on a brick wall
